date,time,Latvia,Lithuania,Finland,Estonia
8/1/2022,0:00,426.89,426.89,16.38,426.89
8/1/2022,1:00,385.06,385.06,11.99,385.06
8/1/2022,2:00,154.99,154.99,11.19,154.99
8/1/2022,3:00,149.17,149.17,11.4,149.17
8/1/2022,4:00,149.13,149.13,11.48,149.13
8/1/2022,5:00,149.19,149.19,11.94,149.19
8/1/2022,6:00,380,380,154.84,380
8/1/2022,7:00,429.66,429.66,203.52,429.66
8/1/2022,8:00,467.91,467.91,292.83,467.91
8/1/2022,9:00,474.9,474.9,377.99,474.9
8/1/2022,10:00,459.7,459.7,435.71,459.7
8/1/2022,11:00,448.4,448.4,438.38,448.4
8/1/2022,12:00,429.49,429.49,429.49,429.49
8/1/2022,13:00,399.01,399.01,399.01,399.01
8/1/2022,14:00,390.75,390.75,390.75,390.75
8/1/2022,15:00,381.29,381.29,381.29,381.29
8/1/2022,16:00,398.46,398.46,398.46,398.46
8/1/2022,17:00,402.07,402.07,402.07,402.07
8/1/2022,18:00,427.25,427.25,427.25,427.25
8/1/2022,19:00,433.22,433.22,433.22,433.22
8/1/2022,20:00,514.37,514.37,472.54,514.37
8/1/2022,21:00,533.58,533.58,273.74,533.58
8/1/2022,22:00,526.88,526.88,273.19,526.88
8/1/2022,23:00,502.7,502.7,211.87,502.7
8/2/2022,0:00,471.48,471.48,154.55,471.48
8/2/2022,1:00,440.98,440.98,100.63,440.98
8/2/2022,2:00,390.1,390.1,110.61,390.1
8/2/2022,3:00,382.1,382.1,112.6,382.1
8/2/2022,4:00,359.89,359.89,117.64,227.55
8/2/2022,5:00,352.69,352.69,71.65,205.28
8/2/2022,6:00,393.03,393.03,193.08,393.03
8/2/2022,7:00,457.04,457.04,200.05,457.04
8/2/2022,8:00,479.9,479.9,288.55,479.9
8/2/2022,9:00,478.9,478.9,306.93,478.9
8/2/2022,10:00,418.47,418.47,319.94,418.47
8/2/2022,11:00,380.78,380.78,311.02,380.78
8/2/2022,12:00,373.51,373.51,291.87,373.51
8/2/2022,13:00,333.18,333.18,267.57,333.18
8/2/2022,14:00,347.48,347.48,240.75,264.69
8/2/2022,15:00,336.6,336.6,226.37,336.6
8/2/2022,16:00,295.17,295.17,199.69,248.77
8/2/2022,17:00,387.1,387.1,200,387.1
8/2/2022,18:00,340.74,340.74,255.02,340.74
8/2/2022,19:00,445.97,445.97,255.05,445.97
8/2/2022,20:00,511.75,511.75,227.71,511.75
8/2/2022,21:00,521.84,521.84,168.95,521.84
8/2/2022,22:00,521.1,521.1,108.33,521.1
8/2/2022,23:00,489.7,489.7,46.52,489.7
8/3/2022,0:00,443.88,443.88,2.42,150.39
8/3/2022,1:00,382.25,382.25,1.53,382.25
8/3/2022,2:00,369.62,369.62,1.48,369.62
8/3/2022,3:00,342.09,342.09,1.48,342.09
8/3/2022,4:00,326.3,326.3,1.5,326.3
8/3/2022,5:00,329.96,329.96,1.73,329.96
8/3/2022,6:00,369.25,369.25,2.64,369.25
8/3/2022,7:00,441.82,441.82,4.72,441.82
8/3/2022,8:00,455.34,455.34,9.03,455.34
8/3/2022,9:00,450.58,450.58,86.57,450.58
8/3/2022,10:00,342.81,342.81,27.95,342.81
8/3/2022,11:00,317.01,317.01,9.9,151.72
8/3/2022,12:00,548.38,548.38,29.22,118.06
8/3/2022,13:00,461.72,461.72,29.93,279.8
8/3/2022,14:00,456.51,456.51,3.63,456.51
8/3/2022,15:00,594.3,594.3,2.97,552.06
8/3/2022,16:00,519.35,519.35,2.85,519.35
8/3/2022,17:00,374.1,374.1,2.87,374.1
8/3/2022,18:00,446.14,446.14,3,446.14
8/3/2022,19:00,506.04,506.04,3.93,506.04
8/3/2022,20:00,541.54,541.54,4.4,541.54
8/3/2022,21:00,547.47,547.47,3.96,547.47
8/3/2022,22:00,500.08,500.08,3.65,500.08
8/3/2022,23:00,501.77,501.77,3.04,151.78
8/4/2022,0:00,453.8,453.8,1.89,151.73
8/4/2022,1:00,450.3,450.3,1.51,450.3
8/4/2022,2:00,414.26,414.26,1.53,291.24
8/4/2022,3:00,375.07,375.07,1.62,155.98
8/4/2022,4:00,348.49,348.49,2.1,155.97
8/4/2022,5:00,345.3,345.3,2.47,155.96
8/4/2022,6:00,375.07,375.07,4.16,375.07
8/4/2022,7:00,447.98,447.98,6.1,447.98
8/4/2022,8:00,480.1,480.1,16.08,16.08
8/4/2022,9:00,500.04,500.04,16.05,16.05
8/4/2022,10:00,502.79,502.79,16.07,16.07
8/4/2022,11:00,502.76,502.76,11.96,11.96
8/4/2022,12:00,502.72,502.72,9.13,9.13
8/4/2022,13:00,510.01,510.01,8.46,8.46
8/4/2022,14:00,502.71,502.71,8.18,8.18
8/4/2022,15:00,510,510,7.29,7.29
8/4/2022,16:00,484.14,484.14,7.59,7.59
8/4/2022,17:00,438.9,438.9,9.64,155.98
8/4/2022,18:00,362.09,362.09,9.44,362.09
8/4/2022,19:00,495.62,495.62,11.83,495.62
8/4/2022,20:00,514.54,514.54,10.39,514.54
8/4/2022,21:00,504.46,504.46,6.83,504.46
8/4/2022,22:00,495.58,495.58,5.75,495.58
8/4/2022,23:00,454.52,454.52,4.55,189.56
8/5/2022,0:00,397.02,397.02,2.5,155.95
8/5/2022,1:00,348.8,348.8,1.64,348.8
8/5/2022,2:00,358.18,358.18,1.47,358.18
8/5/2022,3:00,189.96,189.96,1.57,189.96
8/5/2022,4:00,156.48,156.48,1.98,156.48
8/5/2022,5:00,156.45,156.45,2.3,156.45
8/5/2022,6:00,390.05,390.05,3.09,390.05
8/5/2022,7:00,449.91,449.91,4.97,449.91
8/5/2022,8:00,468,468,11.52,468
8/5/2022,9:00,483.91,483.91,17.83,121.93
8/5/2022,10:00,448.1,448.1,35.09,35.09
8/5/2022,11:00,428.79,428.79,50.03,50.03
8/5/2022,12:00,406.69,406.69,35.07,35.07
8/5/2022,13:00,383.1,383.1,24.47,24.47
8/5/2022,14:00,344.57,344.57,25.44,25.44
8/5/2022,15:00,300.07,300.07,39.39,39.39
8/5/2022,16:00,182.36,182.36,48.29,48.29
8/5/2022,17:00,233.05,233.05,73.19,73.19
8/5/2022,18:00,573.03,573.03,116.4,121.91
8/5/2022,19:00,520,520,138.81,156.45
8/5/2022,20:00,455,455,156.5,156.5
8/5/2022,21:00,323.95,323.95,160.04,160.04
8/5/2022,22:00,430.34,430.34,154.61,156.43
8/5/2022,23:00,429.91,429.91,98.09,429.91
8/6/2022,0:00,386.55,386.55,10.63,386.55
8/6/2022,1:00,361.76,361.76,25.88,361.76
8/6/2022,2:00,315.05,315.05,6.04,315.05
8/6/2022,3:00,308.59,308.59,4.9,308.59
8/6/2022,4:00,276.45,276.45,4.57,276.45
8/6/2022,5:00,267.76,267.76,3.98,267.76
8/6/2022,6:00,254.08,254.08,3.47,254.08
8/6/2022,7:00,290.83,290.83,3.05,3.05
8/6/2022,8:00,315.03,315.03,3.18,123.06
8/6/2022,9:00,309.56,309.56,3.98,123
8/6/2022,10:00,233.32,233.32,4.26,4.26
8/6/2022,11:00,402.27,402.27,19.93,402.27
8/6/2022,12:00,347.03,347.03,24.08,347.03
8/6/2022,13:00,157.86,157.86,12.79,157.86
8/6/2022,14:00,98.74,98.74,13.02,98.74
8/6/2022,15:00,157.81,157.81,4.99,157.81
8/6/2022,16:00,119.4,119.4,46.08,119.4
8/6/2022,17:00,123,123,68.63,123
8/6/2022,18:00,292.79,292.79,23.28,292.79
8/6/2022,19:00,223.44,223.44,21.13,223.44
8/6/2022,20:00,302.61,302.61,13.03,302.61
8/6/2022,21:00,355.98,355.98,10.08,355.98
8/6/2022,22:00,334.48,334.48,11.34,334.48
8/6/2022,23:00,369.08,369.08,4.96,157.86
8/7/2022,0:00,324.98,324.98,1.45,123.08
8/7/2022,1:00,277.89,277.89,1.01,265.99
8/7/2022,2:00,232.85,232.85,0.86,190.82
8/7/2022,3:00,218.28,218.28,0.71,190.81
8/7/2022,4:00,206.4,206.4,0.7,157.25
8/7/2022,5:00,200.47,200.47,0.81,157.23
8/7/2022,6:00,205.23,205.23,0.98,190.81
8/7/2022,7:00,205,205,1.21,163.45
8/7/2022,8:00,206.29,206.29,1.44,206.29
8/7/2022,9:00,162.27,162.27,2.66,162.27
8/7/2022,10:00,142.7,142.7,9.88,142.7
8/7/2022,11:00,100,100,15.91,15.91
8/7/2022,12:00,87.69,87.69,18.74,18.74
8/7/2022,13:00,409.31,409.31,15.77,15.77
8/7/2022,14:00,78.65,78.65,15.78,15.78
8/7/2022,15:00,79.8,79.8,16.73,79.8
8/7/2022,16:00,87.11,87.11,19.35,87.11
8/7/2022,17:00,103.5,103.5,29.91,103.5
8/7/2022,18:00,199.42,199.42,66.75,199.42
8/7/2022,19:00,301.67,301.67,160.04,301.67
8/7/2022,20:00,393.3,393.3,144.8,393.3
8/7/2022,21:00,421.99,421.99,99.51,421.99
8/7/2022,22:00,419.92,419.92,183.84,419.92
8/7/2022,23:00,401.86,401.86,131.32,401.86
8/8/2022,0:00,359.42,359.42,44.98,359.42
8/8/2022,1:00,310.08,310.08,100.02,190.87
8/8/2022,2:00,270.38,270.38,80.01,190.82
