"utc";"date_time";"latvia";"Lithuania";"Finland";"Estonia"
"1664571600";"01.10.2022 00:00";"356,91";"356,91";"256,49";"256,49"
"1664575200";"01.10.2022 01:00";"214,27";"214,27";"214,27";"214,27"
"1664578800";"01.10.2022 02:00";"188";"188";"188";"188"
"1664582400";"01.10.2022 03:00";"189,6";"189,6";"189,6";"189,6"
"1664586000";"01.10.2022 04:00";"174,47";"174,47";"174,47";"174,47"
"1664589600";"01.10.2022 05:00";"269,16";"269,16";"198,63";"198,63"
"1664593200";"01.10.2022 06:00";"231,91";"231,91";"231,91";"231,91"
"1664596800";"01.10.2022 07:00";"416,7";"416,7";"374,11";"374,11"
"1664600400";"01.10.2022 08:00";"317,02";"317,02";"317,02";"317,02"
"1664604000";"01.10.2022 09:00";"442,7";"442,7";"337,55";"337,55"
"1664607600";"01.10.2022 10:00";"346,81";"346,81";"346,81";"346,81"
"1664611200";"01.10.2022 11:00";"326,73";"326,73";"326,73";"326,73"
"1664614800";"01.10.2022 12:00";"317,12";"317,12";"317,12";"317,12"
"1664618400";"01.10.2022 13:00";"283,26";"283,26";"283,26";"283,26"
"1664622000";"01.10.2022 14:00";"218,8";"218,8";"218,8";"218,8"
"1664625600";"01.10.2022 15:00";"204,05";"204,05";"204,05";"204,05"
"1664629200";"01.10.2022 16:00";"270,75";"270,75";"262,92";"262,92"
"1664632800";"01.10.2022 17:00";"403,62";"403,62";"317,14";"317,14"
"1664636400";"01.10.2022 18:00";"350";"350";"312,54";"312,54"
"1664640000";"01.10.2022 19:00";"390,43";"390,43";"312,44";"312,44"
"1664643600";"01.10.2022 20:00";"415,32";"415,32";"283,42";"283,42"
"1664647200";"01.10.2022 21:00";"286,71";"286,71";"198,65";"198,65"
"1664650800";"01.10.2022 22:00";"272,1";"272,1";"205,77";"205,77"
"1664654400";"01.10.2022 23:00";"244,06";"244,06";"177,04";"177,04"
"1664658000";"02.10.2022 00:00";"97,13";"97,13";"97,13";"97,13"
"1664661600";"02.10.2022 01:00";"71,94";"71,94";"71,94";"71,94"
"1664665200";"02.10.2022 02:00";"152,23";"152,23";"152,23";"152,23"
"1664668800";"02.10.2022 03:00";"155,01";"155,01";"155,01";"155,01"
"1664672400";"02.10.2022 04:00";"177,17";"177,17";"177,17";"177,17"
"1664676000";"02.10.2022 05:00";"122,96";"122,96";"122,96";"122,96"
"1664679600";"02.10.2022 06:00";"120,01";"120,01";"120,01";"120,01"
"1664683200";"02.10.2022 07:00";"103,08";"103,08";"103,08";"103,08"
"1664686800";"02.10.2022 08:00";"167,56";"167,56";"167,56";"167,56"
"1664690400";"02.10.2022 09:00";"255,61";"255,61";"255,61";"255,61"
"1664694000";"02.10.2022 10:00";"311,34";"311,34";"311,34";"311,34"
"1664697600";"02.10.2022 11:00";"320,41";"320,41";"320,41";"320,41"
"1664701200";"02.10.2022 12:00";"305,18";"305,18";"305,18";"305,18"
"1664704800";"02.10.2022 13:00";"301,52";"301,52";"301,52";"301,52"
"1664708400";"02.10.2022 14:00";"302,87";"302,87";"302,87";"302,87"
"1664712000";"02.10.2022 15:00";"329,93";"329,93";"329,93";"329,93"
"1664715600";"02.10.2022 16:00";"334,05";"334,05";"334,05";"334,05"
"1664719200";"02.10.2022 17:00";"348,51";"348,51";"348,51";"348,51"
"1664722800";"02.10.2022 18:00";"445,06";"445,06";"445,06";"445,06"
"1664726400";"02.10.2022 19:00";"500";"500";"500";"500"
"1664730000";"02.10.2022 20:00";"530,67";"530,67";"530,67";"530,67"
"1664733600";"02.10.2022 21:00";"336,28";"336,28";"336,28";"336,28"
"1664737200";"02.10.2022 22:00";"244,02";"244,02";"244,02";"244,02"
"1664740800";"02.10.2022 23:00";"181,41";"181,41";"181,41";"181,41"
"1664744400";"03.10.2022 00:00";"165,41";"165,41";"161,67";"161,67"
"1664748000";"03.10.2022 01:00";"90,47";"90,47";"80,84";"90,47"
"1664751600";"03.10.2022 02:00";"99,76";"99,76";"94,04";"99,76"
"1664755200";"03.10.2022 03:00";"94,38";"94,38";"94,38";"94,38"
"1664758800";"03.10.2022 04:00";"91,3";"91,3";"91,3";"91,3"
"1664762400";"03.10.2022 05:00";"101,63";"101,63";"101,63";"101,63"
"1664766000";"03.10.2022 06:00";"256,49";"256,49";"256,49";"256,49"
"1664769600";"03.10.2022 07:00";"362,14";"362,14";"332,16";"357,8"
"1664773200";"03.10.2022 08:00";"475,01";"475,01";"332,97";"475,01"
"1664776800";"03.10.2022 09:00";"449,9";"449,9";"367,7";"449,9"
"1664780400";"03.10.2022 10:00";"340,06";"340,06";"340,06";"340,06"
"1664784000";"03.10.2022 11:00";"281,5";"281,5";"281,5";"281,5"
"1664787600";"03.10.2022 12:00";"328,64";"328,64";"328,64";"328,64"
"1664791200";"03.10.2022 13:00";"357,85";"357,85";"357,85";"357,85"
"1664794800";"03.10.2022 14:00";"293,93";"293,93";"293,93";"293,93"
"1664798400";"03.10.2022 15:00";"262,09";"262,09";"262,09";"262,09"
"1664802000";"03.10.2022 16:00";"259,16";"259,16";"259,16";"259,16"
"1664805600";"03.10.2022 17:00";"228,03";"228,03";"228,03";"228,03"
"1664809200";"03.10.2022 18:00";"322,68";"322,68";"322,68";"322,68"
"1664812800";"03.10.2022 19:00";"391,11";"391,11";"384,4";"384,4"
"1664816400";"03.10.2022 20:00";"484,29";"484,29";"376,6";"376,6"
"1664820000";"03.10.2022 21:00";"379,85";"379,85";"342,91";"342,91"
"1664823600";"03.10.2022 22:00";"321,3";"321,3";"321,3";"321,3"
"1664827200";"03.10.2022 23:00";"214,73";"214,73";"214,73";"214,73"
"1664830800";"04.10.2022 00:00";"150,07";"150,07";"150,07";"150,07"
"1664834400";"04.10.2022 01:00";"130,88";"130,88";"130,88";"130,88"
"1664838000";"04.10.2022 02:00";"98,21";"98,21";"98,21";"98,21"
"1664841600";"04.10.2022 03:00";"79,95";"79,95";"79,95";"79,95"
"1664845200";"04.10.2022 04:00";"79,94";"79,94";"79,94";"79,94"
"1664848800";"04.10.2022 05:00";"135,44";"135,44";"135,44";"135,44"
"1664852400";"04.10.2022 06:00";"196,92";"196,92";"196,92";"196,92"
"1664856000";"04.10.2022 07:00";"329,97";"329,97";"238,15";"238,15"
"1664859600";"04.10.2022 08:00";"427,5";"427,5";"282,52";"282,52"
"1664863200";"04.10.2022 09:00";"497,39";"497,39";"343,2";"343,2"
"1664866800";"04.10.2022 10:00";"324,1";"324,1";"309,48";"309,48"
"1664870400";"04.10.2022 11:00";"265";"265";"265";"265"
"1664874000";"04.10.2022 12:00";"243,53";"243,53";"243,53";"243,53"
"1664877600";"04.10.2022 13:00";"228,92";"228,92";"228,92";"228,92"
"1664881200";"04.10.2022 14:00";"210,07";"210,07";"210,07";"210,07"
"1664884800";"04.10.2022 15:00";"210,76";"210,76";"210,76";"210,76"
"1664888400";"04.10.2022 16:00";"242,19";"242,19";"242,19";"242,19"
"1664892000";"04.10.2022 17:00";"248,82";"248,82";"248,82";"248,82"
"1664895600";"04.10.2022 18:00";"310,63";"310,63";"310,63";"310,63"
"1664899200";"04.10.2022 19:00";"419,65";"419,65";"419,65";"419,65"
"1664902800";"04.10.2022 20:00";"501,28";"501,28";"483,93";"501,28"
"1664906400";"04.10.2022 21:00";"350,07";"350,07";"254,63";"254,63"
"1664910000";"04.10.2022 22:00";"279,26";"279,26";"279,26";"279,26"
"1664913600";"04.10.2022 23:00";"265,5";"265,5";"254,83";"254,83"
